"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Memory_Ants.nlogox"
"1 гипотеза"
"06/08/2026 21:11:23:379 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","use-memory?","evaporation-rate","diffusion-rate","more-food?","[step]","total-food-count","count turtles","[length my-memory] of turtles"
"6","false","10","50","false","1000","141","0","[]"
"5","false","10","50","false","1000","24","0","[]"
"3","false","10","50","false","1000","75","0","[]"
"4","false","10","50","false","1000","86","0","[]"
"2","false","10","50","false","1000","75","0","[]"
"7","false","10","50","false","1000","92","0","[]"
"9","false","10","50","false","1000","87","0","[]"
"10","false","10","50","false","1000","92","0","[]"
"8","false","10","50","false","1000","78","0","[]"
"11","false","10","50","false","1000","95","1","[0]"
"12","false","10","50","false","1000","95","0","[]"
"13","false","10","50","false","1000","56","0","[]"
"14","false","10","50","false","1000","88","0","[]"
"16","false","10","50","false","1000","84","0","[]"
"15","false","10","50","false","1000","136","1","[0]"
"17","false","10","50","false","1000","35","0","[]"
"19","false","10","50","false","1000","98","1","[0]"
"20","false","10","50","false","1000","83","0","[]"
"18","false","10","50","false","1000","118","0","[]"
"21","false","10","50","true","1000","115","1","[0]"
"22","false","10","50","true","1000","108","1","[0]"
"24","false","10","50","true","1000","51","0","[]"
"23","false","10","50","true","1000","114","0","[]"
"25","false","10","50","true","1000","112","1","[0]"
"26","false","10","50","true","1000","96","1","[0]"
"27","false","10","50","true","1000","140","3","[0 0 0]"
"28","false","10","50","true","1000","134","4","[0 0 0 0]"
"29","false","10","50","true","1000","109","2","[0 0]"
"30","false","10","50","true","1000","112","1","[0]"
"31","false","10","50","true","1000","117","0","[]"
"32","false","10","50","true","1000","108","0","[]"
"33","false","10","50","true","1000","205","6","[0 0 0 0 0 0]"
"34","false","10","50","true","1000","109","2","[0 0]"
"35","false","10","50","true","1000","112","1","[0]"
"37","false","10","50","true","1000","97","0","[]"
"36","false","10","50","true","1000","121","1","[0]"
"41","false","10","50","false","1000","84","0","[]"
"38","false","10","50","true","1000","113","0","[]"
"42","false","10","50","false","1000","82","0","[]"
"40","false","10","50","true","1000","127","0","[]"
"39","false","10","50","true","1000","182","2","[0 0]"
"43","false","10","50","false","1000","117","0","[]"
"44","false","10","50","false","1000","119","1","[0]"
"45","false","10","50","false","1000","71","1","[0]"
"46","false","10","50","false","1000","95","0","[]"
"47","false","10","50","false","1000","87","0","[]"
"48","false","10","50","false","1000","79","0","[]"
"49","false","10","50","false","1000","130","0","[]"
"51","false","10","50","false","1000","87","0","[]"
"52","false","10","50","false","1000","91","0","[]"
"50","false","10","50","false","1000","135","0","[]"
"53","false","10","50","false","1000","56","0","[]"
"54","false","10","50","false","1000","121","1","[0]"
"55","false","10","50","false","1000","99","0","[]"
"56","false","10","50","false","1000","81","0","[]"
"57","false","10","50","false","1000","90","0","[]"
"58","false","10","50","false","1000","43","0","[]"
"59","false","10","50","false","1000","86","1","[0]"
